Topic,Site_Url,Pillar Post Title,Pillar Post Dimesion,Pillar Post Url,Keyword Cluster,Keyword,Language,Used,API Key,Status,Post_Url,Post_ID,Human_Context
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Énergie des Pierres,https://www.joaillerie-et-symbolique.com/lenergie-des-pierres-et-la-guerison/,Vertus spirituelles des pierres,bienfaits emeraude chakra coeur,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/bienfaits-emeraude-chakra-coeur-guerison-amitie/,2253,"觸發：現代人的生活難免都會碰到些不如意的事，工作上犯小人，糟糕的天氣。而近期最令我難過的一件事莫過於和政治理念不同的朋友大吵了一架。我不知道我們之後還會不會往來，但可以肯定的是我們的關係不可能再回到從前了。
痛點：這種失去朋友的感覺，讓我十分難受，明明我們爭執的只是一個離我們生活十分遙遠的政治議題，一場發生於幾千公里外國家的戰爭，為什麼卻會讓我失去一個朋友呢？
細節：當天朋友甩門離去後，我在沙發上坐了很久，甚至久違的喝了一瓶紅酒，我已經戒酒好多年了。我憤怒的滑著Tiktok，卻沒看進去任何內容，直到我滑到一個很有名（我後來才知道原來他很有名）的中國翡翠影音頻道主劉思懿，我想起我看過一則文章說翡翠可以舒緩人們的心理壓力，就抱持著試試看的態度買了一個便宜的吊墜。
結論：我明白翡翠對應心輪幫助人們舒緩壓力這種事沒有任何的科學證據，但我想著或許有些時候我們需要的只是那個心理作用，畢竟那溫潤的觸感與光澤彷彿在告訴我「沒關係，一切都會慢慢好起來的。」
證據：不論是否是心理作用，開始佩戴翡翠後，我確實感受到我的情緒變穩定了，雖然我跟那個朋友再也沒有聯絡，但我卻漸漸感到釋懷了。"
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Énergie des Pierres,https://www.joaillerie-et-symbolique.com/lenergie-des-pierres-et-la-guerison/,Vertus spirituelles des pierres,saphir bleu propriétés ésotériques,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/saphir-bleu-pouvoirs-esoteriques/,1848,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Totems de Protection,https://www.joaillerie-et-symbolique.com/totems-sacres-et-protection-antique/,Totems et Protection Antique,oeil bleu grec signification,français,否,NSU1wehu6rTvY0dOr0XTFgXR,Active,,,"觸發：應該很多人在土耳其旅遊時，見過一種由不同深淺的藍色同心圓組成的飾品。外表遠遠看去，就像是一隻眼睛。
痛點：而若是聽到那個飾品的名字，也往往會讓覺得是否不太吉利。因為這個飾品常被冠上「邪眼」或是「惡魔之眼」的名聲。
細節：不過別擔心，我就曾收過一份這樣的禮物，而且請放心，這份禮物其實是用來避邪與保護的。它用來抵禦源自嫉妒的惡意注視（邪視）或詛咒，將負面能量反射或吸收，保護配戴者免受災厄。
結論：不過這個禮物也有兩個需要注意的禁忌，第一是絕對不能接受敵意之人的贈禮，這個禮物本意是用來抵禦惡意的，但若是在送禮的過程中就沾染上了惡意，那反而會有反效果。第二是如果自然碎裂了，絕對不可以黏回去，因為碎裂表示飾品替你抵禦了災禍，他的使命已經完成了。
證據：但很有趣的一點是，雖然這個飾品如今在土耳其比較常見，但他其實是起源於希臘神話的飾品。但因為這個飾品必須由玻璃製作，而當時土耳其的玻璃製作工藝較為發達，加上後來土耳其政府的有意行銷，因此目前反而在土耳其比較常見。"
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Totems de Protection,https://www.joaillerie-et-symbolique.com/totems-sacres-et-protection-antique/,Totems et Protection Antique,main de fatma pendentif signification,français,否,NSU1wehu6rTvY0dOr0XTFgXR,None,,,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Totems de Protection,https://www.joaillerie-et-symbolique.com/totems-sacres-et-protection-antique/,Totems et Protection Antique,symbole scarabée égyptien bijoux,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/scarabee-egyptien-joaillerie/,1854,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Totems de Protection,https://www.joaillerie-et-symbolique.com/totems-sacres-et-protection-antique/,Totems et Protection Antique,protection mauvais oeil bijoux,français,否,NSU1wehu6rTvY0dOr0XTFgXR,None,,,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Totems de Protection,https://www.joaillerie-et-symbolique.com/totems-sacres-et-protection-antique/,Totems et Protection Antique,hamsa bijoux porte bonheur,français,否,NSU1wehu6rTvY0dOr0XTFgXR,None,,,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Alchimie des Métaux,https://www.joaillerie-et-symbolique.com/alchimie-des-metaux-et-eternite/,Métaux et Énergie Alchimique,symbolique de l'or en bijouterie,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/symbolique-or-bijouterie-pouvoir-divinite-amour/,2235,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Alchimie des Métaux,https://www.joaillerie-et-symbolique.com/alchimie-des-metaux-et-eternite/,Métaux et Énergie Alchimique,argent massif vertus spirituelles,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/argent-vertus-spirituelles/,1874,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Alchimie des Métaux,https://www.joaillerie-et-symbolique.com/alchimie-des-metaux-et-eternite/,Métaux et Énergie Alchimique,difference or jaune et or rose symbole,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/difference-or-jaune-et-or-rose-symbole/,2186,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Alchimie des Métaux,https://www.joaillerie-et-symbolique.com/alchimie-des-metaux-et-eternite/,Métaux et Énergie Alchimique,platine symbolisme force,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/platine-symbolisme-force-eternite/,2195,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Alchimie des Métaux,https://www.joaillerie-et-symbolique.com/alchimie-des-metaux-et-eternite/,Métaux et Énergie Alchimique,bijoux en cuivre bienfaits santé,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/cuivre-sante-bijoux-benefices/,1910,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Rites de Passage,https://www.joaillerie-et-symbolique.com/rites-de-passage-et-memoire/,Bijoux et Rites de Passage,histoire bague de fiancailles,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/engagement-ring-history-odyssey/,1867,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Rites de Passage,https://www.joaillerie-et-symbolique.com/rites-de-passage-et-memoire/,Bijoux et Rites de Passage,bijoux de deuil victoriens,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/bijoux-de-deuil-victoriens-memoire-chagrin/,2199,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Rites de Passage,https://www.joaillerie-et-symbolique.com/rites-de-passage-et-memoire/,Bijoux et Rites de Passage,offrir un bracelet d'amitié symbole,français,否,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/blog/offrir-bracelet-amitie-symbole-lien-persiste/,,"觸發：在這個科技冷漠，但友情相對氾濫的時代，很多人可能擁有很多「點頭之交」，可能真心說上話的好友卻沒幾個。
痛點：我也是，身旁的朋友隨著人生階段不斷更換，以往很多十分要好的朋友，後來默默地漸行漸遠，沒有什麼特殊的理由，就只是......走散了而已。
細節：我有一個禮物盒，裡面收著各種過往朋友送我的禮物，其中，就包含一條彩色串珠的友誼手鏈。那是我國小畢業時和朋友互送的禮物，我們用學校提供的材料，細心做了一下午。
結論：友誼手鏈並不能真正的替你保有友誼，但是當你需要懷念一段曾經的記憶時，這會是一個很好的媒介。
證據：至少當我看到那條友誼手鏈時，總會想起那個朋友，以及和她相處的美好時光。雖然畢業後我們各奔東西，沒怎麼再聽過他的消息，但祝你一切順利，朋友。"
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Rites de Passage,https://www.joaillerie-et-symbolique.com/rites-de-passage-et-memoire/,Bijoux et Rites de Passage,bijoux de famille transmission,français,否,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/blog/l-heritage-silencieux-transmission-bijoux-famille/,,"觸發：我有個朋友，結婚的時候，她媽媽鄭重的將一塊玉佩拿給她（她媽媽是個中國人），說那塊翡翠是他們家的傳家寶，從媽媽的奶奶那一輩流傳下來的，是一塊具有上百年歷史，清朝時期留下的玉佩，吩咐她將來若有小孩，要再傳給下一代。
痛點：我有點羨慕，畢竟我結婚的時候啥都沒有。
細節：那塊玉佩我看了一下，或許是因為長年在盒子裡被保存的很好，看不太出來有上百年的歷史。
偏見：但因為假玉石的詐騙案有點多，我朋友的老公總是想著要不找一天拿這塊玉石去鑒定一下。
證據：不過後來我朋友還是放棄了這個念頭，畢竟玉石這種東西本來就是地球歷經了長時間形成的，拿去鑒定也鑒定不出實際生成的時間。或許技法那些可以鑒定是不是百年以前的技法，但這個東西，本來就是象徵祝福的意義大於實際的價值，他們家也不缺錢，又何必毀了自己母親的一番好心呢？"
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Rites de Passage,https://www.joaillerie-et-symbolique.com/rites-de-passage-et-memoire/,Bijoux et Rites de Passage,medaille de bapteme signification,français,否,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/blog/medaille-bapteme-signification-symboles-transmission-personnelle/,,"觸發：我和Maggie雖然是在教會上認識的，但嚴格來說，我們兩個都不能算是虔誠的信徒（或許這就是我們成為朋友的原因）。
痛點：我們總是說，要是對方生了小孩，我們就要當對方小孩的教母，送小孩一條洗禮項鏈。
細節：我們甚至為對方指定了款式，他的小孩要純銀的聖母瑪利亞。我的小孩要純銀的白鴿。
偏見：但天意難料，後來的我們都沒有結婚，也沒有小孩，就這麼默默的過了中年。這個約定也成了一個玩笑。
證據：但後來，我們還是送了對方禮物，我送了他一塊象徵祝福的瑪瑙，而她則是送了一件很不錯的皮毛外套（當然，是人工的，我反對使用真實動物皮草）。"
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Identité et Styles,https://www.joaillerie-et-symbolique.com/esthetique-de-lidentite-et-sous-cultures/,Styles et Identité Sociale,signification collier choker histoire,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/signification-collier-choker-histoire/,2191,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Identité et Styles,https://www.joaillerie-et-symbolique.com/esthetique-de-lidentite-et-sous-cultures/,Styles et Identité Sociale,bijoux gothiques symbolisme,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/bijoux-gothiques-symbolisme-evolution/,2182,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Identité et Styles,https://www.joaillerie-et-symbolique.com/esthetique-de-lidentite-et-sous-cultures/,Styles et Identité Sociale,tendance bijoux minimalistes,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/tendance-bijoux-minimalistes/,2176,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Identité et Styles,https://www.joaillerie-et-symbolique.com/esthetique-de-lidentite-et-sous-cultures/,Styles et Identité Sociale,look bijoux bohème chic,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/boho-chic-jewelry-evolution/,1878,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Identité et Styles,https://www.joaillerie-et-symbolique.com/esthetique-de-lidentite-et-sous-cultures/,Styles et Identité Sociale,piercing oreille signification culturelle,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/piercing-oreille-odyssee-culturelle-2/,1982,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Secrets de la Nature,https://www.joaillerie-et-symbolique.com/faune-flore-et-secrets-de-la-nature/,Symbolisme de la Nature,bijoux serpent signification spirituelle,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/bijoux-serpent-signification-spirituelle/,2036,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Secrets de la Nature,https://www.joaillerie-et-symbolique.com/faune-flore-et-secrets-de-la-nature/,Symbolisme de la Nature,pendentif papillon symbole renaissance,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/papillon-pendant-renaissance-symbol/,1970,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Secrets de la Nature,https://www.joaillerie-et-symbolique.com/faune-flore-et-secrets-de-la-nature/,Symbolisme de la Nature,symbole abeille joaillerie,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/abeille-bijoux-symbolisme/,1890,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Secrets de la Nature,https://www.joaillerie-et-symbolique.com/faune-flore-et-secrets-de-la-nature/,Symbolisme de la Nature,bijoux fleur de lys royauté,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/fleur-de-lys-royal-jewelry/,2046,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Secrets de la Nature,https://www.joaillerie-et-symbolique.com/faune-flore-et-secrets-de-la-nature/,Symbolisme de la Nature,signification plume en bijoux,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/plume-bijoux-symbolisme/,2020,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Symboles et Psychologie,https://www.joaillerie-et-symbolique.com/,Bijoux Psychologiques,bague anti stress signification,français,USED,NSU1wehu6rTvY0dOr0XTFgXR,USED,https://www.joaillerie-et-symbolique.com/bague-anti-stress-signification-guide-symbolique/,2246,
Joaillerie,https://www.joaillerie-et-symbolique.com/,L'Encyclopédie des Symboles,Symboles et Énergie,https://www.joaillerie-et-symbolique.com/,Bijoux et Humeur,bague humeur signification,français,否,NSU1wehu6rTvY0dOr0XTFgXR,None,,,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,1. Neurobiological Foundations,https://www.encyclopedia-of-dreams.com/neurobiological-foundations/,"REM sleep neuroscience, brain activity during dreams, sleep stages memory",brain waves during rem sleep,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/brain-waves-during-rem-sleep/,1838,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,1. Neurobiological Foundations,https://www.encyclopedia-of-dreams.com/neurobiological-foundations/,"REM sleep neuroscience, brain activity during dreams, sleep stages memory",why do dreams feel real science,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/why-do-dreams-feel-real-science/,1868,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,1. Neurobiological Foundations,https://www.encyclopedia-of-dreams.com/neurobiological-foundations/,"REM sleep neuroscience, brain activity during dreams, sleep stages memory",rem sleep and memory consolidation study,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/rem-sleep-and-memory-consolidation-study/,1844,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,1. Neurobiological Foundations,https://www.encyclopedia-of-dreams.com/neurobiological-foundations/,"REM sleep neuroscience, brain activity during dreams, sleep stages memory",neurobiology of dreaming and emotional processing,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/dreams-brain-emotion-sleep/,1644,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,1. Neurobiological Foundations,https://www.encyclopedia-of-dreams.com/neurobiological-foundations/,"REM sleep neuroscience, brain activity during dreams, sleep stages memory",role of amygdala in dreams,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/role-of-amygdala-in-dreams-guide/,1862,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,1. Neurobiological Foundations,https://www.encyclopedia-of-dreams.com/neurobiological-foundations/,Vivid dreams analysis,why do my dreams feel so real and exhausting,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/why-do-my-dreams-feel-so-real-and-exhausting/,1854,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,2. Jungian Archetypes,https://www.encyclopedia-of-dreams.com/jungian-archetypes/,"Jungian archetypes, collective unconscious symbols, shadow self dreams",jungian dream analysis symbols list,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/jungian-dream-symbols-guide/,1793,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,2. Jungian Archetypes,https://www.encyclopedia-of-dreams.com/jungian-archetypes/,"Jungian archetypes, collective unconscious symbols, shadow self dreams",meaning of shadow in dreams jung,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/jungian-shadow-dreams/,1654,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,2. Jungian Archetypes,https://www.encyclopedia-of-dreams.com/jungian-archetypes/,"Jungian archetypes, collective unconscious symbols, shadow self dreams",collective unconscious vs personal unconscious examples,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/collective-unconscious-vs-personal-unconscious-examples/,1810,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,2. Jungian Archetypes,https://www.encyclopedia-of-dreams.com/jungian-archetypes/,"Jungian archetypes, collective unconscious symbols, shadow self dreams",anima and animus in dreams,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/anima-and-animus-in-dreams/,1814,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,2. Jungian Archetypes,https://www.encyclopedia-of-dreams.com/jungian-archetypes/,"Jungian archetypes, collective unconscious symbols, shadow self dreams",individuation process through dream work,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/individuation-process-through-dream-work/,1819,
Dream Interpretation,https://www.encyclopedia-of-dreams.com/,The Master Encyclopedia of Dreams,3. Freudian Psychoanalysis,https://www.encyclopedia-of-dreams.com/freudian-psychoanalysis/,"Freudian dreamwork, repressed desires sleep, manifest latent content",sigmund freud interpretation of dreams latent content,English,USED,EUSp1wRqLAQveoEkUZ2f hirW,USED,https://www.encyclopedia-of-dreams.com/sigmund-freud-interpretation-of-dreams-latent-content/,1888,"觸發：做夢是每個人都會經歷的事情，我昨夜也夢到了一個荒誕的場景，夢到我和同事像最近流行的輕小說或動畫一樣被傳送到了異世界。
痛點：所有同事都獲得了超能力，就我沒有。
細節：在他們努力狩獵魔物時，我居然還像現實世界一樣在一旁打開電腦工作。
結論：雖然佛洛伊德關於「夢的解析」曾經蔚為風潮，但以現代心理學觀點，其實佛洛伊德所說夢反應潛意識的說法並沒有任何的科學依據，純屬個人猜想。
證據：以現代睡眠腦波監測來說，夢境的產生更偏向於腦部睡眠期間無意義的放電。"
